Loi,E,F,N
a::06.1000,"Verhulst, Godtgaf I","Verhulst, Godtgaf I","Verhulst, Godtgaf I"
a::06.1094,"Oliverius, Joannes","Oliverius, Joannes","Oliverius, Joannes"
a::06.1136,"Erckel, d', François","Erckel, d', François","Erckel, d', François"
a::06.1163,"Danckaert, Jan","Danckaert, Jan","Danckaert, Jan"
a::06.1438,"Stryckwant, Guiliam","Stryckwant, Guiliam","Stryckwant, Guiliam"
a::06.1485,"Dams, Aegidius","Dams, Egidius","Dams, Egidius"
a::06.1559,"Eynden, van den, Arnold","Eynden, van den, Arnold","Eynden, van den, Arnold"
a::06.157,"Hullegaerde, Martinus","Hullegaerde, Martinus","Hullegaerde, Martinus"
a::06.1671,"Henricius, Henricus","Henricius, Henricus","Henricius, Henricus"
a::06.209,"Overbeke, van, Martinus","Overbeke, van, Martinus","Overbeke, van, Martinus"
a::06.210,"Meyer, Jan","Meyer, Jan","Meyer, Jan"
a::06.2208,"Conincx, Arnout [Widow]","Conincx, Arnout [Weduwe]","Conincx, Arnout [Weduwe]"
a::06.2292,"Nempe, Hieronymus","Nempe, Hieronymus","Nempe, Hieronymus"
a::06.252,"Muller, Franciscus","Muller, François","Muller, Frans"
a::06.2549,"Aertssens, Hendrik II","Aertssens, Hendrik II","Aertssens, Hendrik II"
a::06.276,"Lints, Gysbrecht","Lints, Gysbrecht","Lints, Gysbrecht"
a::06.2850,"Manilius, Servaes","Manilius, Servaes","Manilius, Servaes"
a::06.2852,"Wolsschaten, van, Geeraerdt III","Wolsschaten, van, Geeraerdt III","Wolsschaten, van, Geeraerdt III"
a::06.2856,"Velde, van de, Jacob I","Velde, van de, Jacob I","Velde, van de, Jacob I"
a::06.2859,"Marchant, Lambert II","Marchant, Lambert II","Marchant, Lambert II"
a::06.2863,"Clouwet, Gregorius","Clouwet, Gregorius","Clouwet, Gregorius"
a::06.2874,"Vleminckx, P.","Vleminckx, P.","Vleminckx, P."
a::06.2927,"Cnobbaert, Michiel","Cnobbaert, Michiel","Cnobbaert, Michiel"
a::06.2931,"Aertssens, Hendrik I & Jan vanden Horick","Aertssens, Hendrik I & Jan vanden Horick","Aertssens, Hendrik I & Jan vanden Horick"
a::06.2932,"Aertssens, Hendrik I","Aertssens, Hendrik I","Aertssens, Hendrik I"
a::06.2933,"Aertssens, Hendrik III","Aertssens, Hendrik III","Aertssens, Hendrik III"
a::06.2934,"Anthoon, Huybrecht I","Anthoon, Huybrecht I","Anthoon, Huybrecht I"
a::06.2935,"Anthoon, Huybrecht I [Widow]","Anthoon, Huybrecht I [Veuve]","Anthoon, Huybrecht I [Weduwe]"
a::06.2936,"Anthoon Velpius, Huybrecht II","Anthoon Velpius, Huybrecht II","Anthoon Velpius, Huybrecht II"
